String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,237719160,1,242
μτSΔ,0,94885938,1,322
Yzηυ,0,81229888,1,237
wpξD,0,89610933,1,347
sgYτ,0,87194182,1,382
κv@x,0,61772933,1,332
δnuΩ,0,39767392,1,357
Θζjθ,0,49432107,1,412
υo80,0,50468378,1,432
JΦφI,0,45488672,1,312
tLν@,0,28006757,1,297
εzΔM,0,9521061,1,347
QΣnγ,0,6469807,1,277
ΓλD2,0,10062414,1,432
8NBh,0,7078659,1,262
θΞιY,0,6335077,1,312
5ωsh,0,5776245,1,282
rιFμ,0,6481731,1,322
lψμH,0,13045645,1,312
α!2C,0,10848658,1,367
τυXμ,0,9655540,1,367
#8Hn,0,8969468,1,387
μ1#G,0,7583244,1,332
9Dκφ,0,5335790,1,237
%ΞaQ,0,10055691,1,432
2ξζΓ,0,7047516,1,262
χrυE,0,14930436,1,407
7πξA,0,6002773,1,282
αQuh,0,10196069,1,392
IxXz,0,5667353,1,262
ωHκg,0,8599908,1,392
μpSζ,0,11797963,1,412
σsAτ,0,12164805,1,382
3k8H,0,7437428,1,277
χ6κQ,0,13260015,1,392
74Dυ,0,9715343,1,297
Bf2%,0,11281689,1,322
ΞΓjU,0,15590800,1,432
hBaΘ,0,11549070,1,357
ιCRΘ,0,8784537,1,357
y985,0,10822223,1,432
χhdΞ,0,10182558,1,382
eι!ψ,0,5705125,1,242
Lξ%h,0,6746966,1,257
JNΦσ,0,4900515,1,242
yfσΔ,0,6119017,1,297
λc@τ,0,5892228,1,302
zΨδ0,0,5979280,1,312
lcγX,0,7431245,1,347
BgΨw,0,5006108,1,242
bxκ@,0,5500337,1,237
O7ML,0,8676184,1,392
σ8Ξ9,0,7482929,1,332
1κrP,0,5477554,1,282
iξGτ,0,6617761,1,322
xΩ4N,0,6951246,1,367
92εΣ,0,6685533,1,297
DφYn,0,5897998,1,277
@καφ,0,8886942,1,412
KkLM,0,5619549,1,277
nβxX,0,8563481,1,312
PξΨΓ,0,5087686,1,242
ζBlk,0,7679255,1,392
4YHd,0,5453923,1,262
Hlr1,0,5587633,1,287
%4Bz,0,7683529,1,387
9βuP,0,5809424,1,282
3voT,0,6158301,1,282
LWUm,0,4911157,1,262
ΔZΞμ,0,6789351,1,332
6uGΞ,0,5625815,1,262
rΓKD,0,7729002,1,372
UHα7,0,7500097,1,347
abqι,0,4946554,1,237
L$ψq,0,5966787,1,282
5fyψ,0,5591129,1,237
ΔWαt,0,9757473,1,392
aXωr,0,7484344,1,302
ωJ!U,0,7370999,1,332
R$Iι,0,6612026,1,337
βσζL,0,6022131,1,312
og8u,0,7388227,1,382
XWνλ,0,5792750,1,302
gbkι,0,5636182,1,297
$hIσ,0,8003820,1,412
oGψk,0,6236660,1,332
πLb8,0,7589162,1,407
OLΨm,0,5704570,1,302
λ0rb,0,7676095,1,392
φqυd,0,8287609,1,407
Opaγ,0,5747919,1,262
ωΔηΘ,0,7438735,1,322
x0PΔ,0,8632088,1,357
$gηυ,0,7676298,1,387
TθfF,0,6888505,1,312
%NBo,0,8685357,1,412
7πΞ1,0,5802067,1,287
ΘQM1,0,9208074,1,432
pQ62,0,8708900,1,432
νyJ4,0,10174205,1,432
UτVI,0,6137227,1,312
EUxG,0,5467565,1,257
@υω0,0,8033844,1,407
JbsΠ,0,4421748,1,237
ΠZSσ,0,8261232,1,412
lQ6S,0,9286785,1,412
eΦVU,0,6856374,1,372
Σω4Q,0,8622105,1,427
nιLH,0,7227699,1,372
ξdfZ,0,7904046,1,407
aΛRF,0,7294271,1,372
LΔΣμ,0,4800354,1,257
CΛ3Π,0,8880608,1,322
α4Φδ,0,10294650,1,302
τFpΓ,0,12085720,1,357
nξfQ,0,10036056,1,372
Gytσ,0,5827225,1,262
ΓΩ$%,0,5062592,1,237
VQωσ,0,6657608,1,302
70mP,0,6663772,1,302
χBU1,0,8852202,1,407
CysT,0,6077825,1,282
ηy@6,0,7557837,1,347
wψlr,0,7726692,1,367
Fζmd,0,6993542,1,282
ξφX6,0,9014056,1,372
6SWε,0,4724825,1,237
KξΓJ,0,5122417,1,287
ωDg!,0,6851741,1,357
Σ$Zδ,0,7377015,1,367
3Rωυ,0,4442026,1,242
01γN,0,4449082,1,242
λjαk,0,7259378,1,392
ναnq,0,7956773,1,427
εΠ%m,0,5374087,1,287
ypzΓ,0,5527224,1,297
Πωξx,0,10856908,1,432
ανMm,0,7016184,1,367
XB3κ,0,7152716,1,382
ζOxl,0,7511025,1,392
NβIw,0,7591268,1,337
ΛvL3,0,8602623,1,432
γσlE,0,8013560,1,372
3GΞΔ,0,4466991,1,242
5ξΓγ,0,5388591,1,257
0Γ9X,0,4920745,1,277
uLpX,0,7589276,1,392
ΓPωψ,0,8892627,1,392
%MoS,0,7820063,1,392
%!ND,0,14767816,1,432
85#κ,0,9963204,1,302
ΠPUR,0,12863095,1,392
ΣEPI,0,11813714,1,392
Bδ$U,0,5604210,1,257
Glλβ,0,3989900,1,242
3v1ζ,0,5520247,1,322
MmUF,0,5274347,1,312
1OωP,0,4081001,1,242
eOKD,0,7414452,1,432
jβ@V,0,4991688,1,287
6rωw,0,4684552,1,242
ZT4υ,0,7095794,1,382
18!L,0,4484641,1,242
EΞBγ,0,6875693,1,337
WEG!,0,8467919,1,357
Cr3k,0,6213827,1,337
2OgE,0,4408498,1,257
UψΩ@,0,3920304,1,237
K!φΨ,0,4661202,1,277
Idσe,0,4095405,1,242
RΦΔS,0,4728960,1,282
ζΦJe,0,6205803,1,367
iIΨp,0,5025322,1,302
UVχo,0,3962889,1,242
hsuΓ,0,3838672,1,237
θXZS,0,6986723,1,407
vdgG,0,7036546,1,407
pΩIΨ,0,6016779,1,337
aqλθ,0,4397239,1,242
2@ιG,0,5146222,1,282
yfA2,0,8244342,1,432
qo3γ,0,6942278,1,382
%kνy,0,8121729,1,392
ξnkw,0,6924824,1,412
υΛh#,0,5341346,1,322
νσgl,0,6057042,1,367
ι#lg,0,6191587,1,372
ΞEΔz,0,6386924,1,392
τgεI,0,6733285,1,407
Kκψj,0,4345184,1,257
Nj4U,0,5768078,1,337
χgs%,0,5826967,1,357
J@fW,0,4840323,1,282
ΞoAn,0,7520782,1,427
KΓMΔ,0,4767107,1,262
Γ6e8,0,7695609,1,392
D$lu,0,5135880,1,277
9δ#Ξ,0,4171294,1,242
PΔΩ5,0,5497702,1,287
ζ1υq,0,5632204,1,332
νHI9,0,6786809,1,407
HεrΔ,0,4302069,1,262
R1Tε,0,4910320,1,297
2pσF,0,4117705,1,257
#4qA,0,8710415,1,392
Vwnω,0,6708856,1,262
E3κi,0,8201685,1,302
βΘqf,0,10295263,1,372
anWΔ,0,9647464,1,322
σruG,0,8160207,1,407
ΛXyκ,0,13232869,1,387
dCJK,0,6195552,1,387
L6%J,0,5475404,1,332
@YuR,0,9993815,1,407
uCVX,0,6642422,1,387
KφFP,0,5575536,1,337
Lwξ$,0,5580422,1,237
pBmo,0,9695658,1,387
Ψ0aj,0,7055717,1,387
xRlΠ,0,5746386,1,357
