String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
jι7Π,0,168491485,1,209
o5Kυ,0,138619035,1,284
$cHg,0,72598199,1,387
aAWΨ,0,73854154,1,284
IUf4,0,24939478,1,163
ηΓaσ,0,25874400,1,239
Σ46b,0,25138857,1,349
i6A8,0,29532516,1,359
τfωS,0,42481827,1,276
ιkTU,0,32213828,1,417
δΠnl,0,22517872,1,314
χσCQ,0,31967590,1,417
AθΔΩ,0,6167099,1,58
kQju,0,24097678,1,284
υΦ@Γ,0,8324984,1,98
κ9P5,0,31296551,1,389
εGFb,0,27627387,1,387
mEDH,0,28868637,1,387
Ξ7A!,0,20146611,1,284
Ψmψ7,0,31815831,1,389
ωRγF,0,31337671,1,389
rΦΞ!,0,6476002,1,96
lbσU,0,16290744,1,276
ΓζBy,0,28734539,1,417
R8!θ,0,11742174,1,181
9XΘr,0,3144032,1,68
ΣjXχ,0,23268158,1,387
HPαw,0,4880033,1,68
ωB@ζ,0,15932889,1,246
nδμε,0,3601796,1,68
χz!w,0,13853146,1,276
uζαi,0,8954116,1,201
Olγπ,0,1942973,1,58
0LxX,0,2606938,1,68
xΘsμ,0,13650261,1,239
υYfj,0,22941156,1,349
rνU9,0,20509649,1,314
ξFΛΣ,0,8144770,1,171
γXNq,0,19163268,1,387
SφGΞ,0,16532024,1,209
yθGQ,0,21933040,1,304
σκ2d,0,29727606,1,417
χ8ko,0,24374856,1,349
HXγU,0,5928285,1,98
SJyη,0,15198128,1,171
A%kL,0,8636896,1,136
μROq,0,24436069,1,387
ZF$Γ,0,11321782,1,181
ΩNgΛ,0,21065054,1,349
@μδq,0,24381672,1,427
WIΛ@,0,11247793,1,171
AgΨΔ,0,3777530,1,68
CeΨ3,0,13096623,1,163
zVχκ,0,12489306,1,181
IQζθ,0,3323475,1,58
Xψ49,0,19753578,1,304
6WlC,0,5832016,1,98
ΞΔξP,0,25785207,1,427
ψΣ4J,0,18691918,1,304
$σi#,0,43877891,1,387
yxιg,0,37553934,1,276
3fZν,0,4327831,1,96
o!γW,0,9842418,1,201
