String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,614710531,1,19827
8nT0Nδ,0,801568097,1,14914
χφEΞCθ,0,355175634,1,32629
φσξ3NZ,0,430966665,1,42580
fξυABv,0,202889552,1,22003
λA5gBs,0,332016542,1,35936
e7gχyγ,0,74268255,1,8128
ΞgZRχα,0,347112153,1,38354
2ηΓζνM,0,41766042,1,5333
gy5ck!,0,168535582,1,21327
π7kSpθ,0,278970869,1,34414
@WnθεP,0,291558646,1,35812
D%UXτb,0,56954972,1,8017
MντξZl,0,40181116,1,5477
3hQMΦs,0,39550320,1,4993
ctMΘwg,0,92485041,1,11286
H63dNν,0,139534506,1,17201
α#%θfE,0,153882905,1,18997
τLpΦ63,0,258983695,1,31125
ZυhrIJ,0,159240163,1,20403
aυQΓZC,0,220612416,1,25172
ιαJeεζ,0,332790143,1,37918
%6ζuiΔ,0,325412762,1,34994
xr0ΣqX,0,270472382,1,32165
α6ΣΔoσ,0,135164116,1,16661
ΩJp#V9,0,244774611,1,28981
CyφIZχ,0,39802593,1,5759
TtfΓΣε,0,39811514,1,2577
tγ6@Ck,0,230573712,1,24834
q5ΩvRc,0,178357900,1,20770
X7dzx#,0,77041625,1,8046
ιlΓσys,0,189701154,1,20788
vχVbδM,0,232830741,1,27154
sc4Zχh,0,253412523,1,30623
2tTWhΘ,0,52365171,1,6701
r@βPUn,0,228212891,1,27954
ODoXuE,0,109909602,1,12895
5r1fεS,0,139344449,1,13268
Cλeυ9θ,0,141313977,1,13894
xs0κvψ,0,220940451,1,24514
nΔΠIv2,0,177385636,1,18899
!Ξpωυf,0,340272039,1,41878
ΣcAΛyr,0,300480367,1,36036
TcZkβu,0,16784233,1,2495
$UVSjP,0,339816220,1,38212
sG@βηk,0,106049533,1,13377
5βvκχx,0,30939376,1,3875
iHsA0p,0,230124923,1,28116
!isθX%,0,267309279,1,32611
iΦzQγχ,0,115377162,1,15730
!xFκRΓ,0,334062391,1,38080
nGτ4Kt,0,216107098,1,25874
vλκζΓΞ,0,43761662,1,4975
μθ1Ψ6C,0,284613908,1,32147
n@θNrμ,0,129643287,1,16212
tθU@ΨH,0,162276857,1,15715
yXQw8#,0,300480960,1,34453
wΓSΩTm,0,206878616,1,24834
Wjoπ$l,0,11880131,1,1055
WdιIα#,0,95959091,1,10928
rδστSm,0,140500865,1,16481
tλμ3k7,0,221362980,1,26130
xbYaδ9,0,264624552,1,32323
v1rnΣM,0,237024357,1,27521
ξχΨHjr,0,208811672,1,26112
!EσFχA,0,324988399,1,36132
ΦqΛt$ζ,0,241751084,1,27439
L6γηξT,0,73476002,1,8368
JWrFΞΛ,0,85570497,1,10464
HμζΦg6,0,97787507,1,11028
KυFΣjφ,0,99738546,1,12114
μD3θSh,0,310599728,1,36018
YdΛζpj,0,14464056,1,2053
σΨ70δY,0,280576534,1,34483
Qτr85ν,0,231116597,1,23623
λaυσzm,0,171417542,1,20788
σxνCθΞ,0,303303602,1,32867
Dh%d$U,0,39349500,1,5333
Πrη$al,0,257247496,1,31107
kΨtR7#,0,173357369,1,22325
3ΨTψob,0,74854659,1,8197
OζτφZμ,0,27333289,1,3761
7ωτΘvc,0,52463695,1,6919
KΓoRzΩ,0,66123282,1,7119
azφαmΦ,0,33644227,1,3777
zγCιεζ,0,91011002,1,9970
!1hθΞξ,0,298122971,1,34014
Y#EjΦχ,0,115787795,1,15330
MxiUWw,0,63774432,1,8899
ξSEDCf,0,330343895,1,41060
7jMκφ#,0,18844970,1,2477
9CηpH@,0,11254756,1,1633
RηKoχP,0,138532524,1,17377
σo4PQE,0,388236723,1,41460
Gc#κuψ,0,13960611,1,1953
vχΓ#pJ,0,141621859,1,16499
xDE3αΔ,0,250977457,1,25072
b0uW@κ,0,145168601,1,15697
6ωAepW,0,70857729,1,8099
5ψlβWg,0,76144090,1,8981
IdZδET,0,135448906,1,14214
Pυi#νQ,0,55509243,1,6437
KΣφIδP,0,141018338,1,16550
νiH5αc,0,347031634,1,39652
TXwoBκ,0,89983736,1,11090
nU87kψ,0,327145596,1,34227
MζgΣJU,0,106863982,1,14214
εRkqgt,0,298719354,1,34576
MΞΘmΦτ,0,50041494,1,6611
qIηΘ@Λ,0,67672588,1,7966
#GιVIk,0,336893764,1,35314
SδBkJΩ,0,166787711,1,21425
7#PδTf,0,70343620,1,8179
JYεωπf,0,8424981,1,1153
WxuΞmQ,0,94982527,1,11028
Mκπ21β,0,253999739,1,22101
ΞωUeWd,0,436733662,1,41540
pSiφζθ,0,149974178,1,15441
C2htΠA,0,128242875,1,12477
MtgwCΘ,0,111083707,1,12514
κzhv1ε,0,347715007,1,40642
αBιUuυ,0,211323903,1,23474
χxσ680,0,370031579,1,40838
Σ!NxbΠ,0,314891552,1,34145
EβμSψz,0,40688219,1,4769
bχψzdκ,0,55669219,1,7475
Gψζwυk,0,69574356,1,8837
HΔγτχy,0,71578863,1,8419
4Zπ0νv,0,94839186,1,11266
0μSDGK,0,100525888,1,9219
δΛυWHm,0,268095452,1,28052
υ2ZτφI,0,242654544,1,27103
8bνι7X,0,109692271,1,12790
m9ΞISa,0,250528537,1,27903
xψsMXΣ,0,248632346,1,29540
6nWMDη,0,56629490,1,7699
ΔMiυvφ,0,289158995,1,34094
huΞf5#,0,170884518,1,20483
RΞtθmz,0,69215546,1,8661
ΞσQ3mΦ,0,286253081,1,36371
TηSκK3,0,210385726,1,25654
#WκνΣt,0,314225654,1,34416
j5νζVN,0,174048814,1,20788
θαυYzA,0,285305711,1,33525
ΛfΘBQ0,0,365688665,1,40838
WgPβsχ,0,82761172,1,9888
Ξs6ξjΠ,0,292151153,1,33971
ΛJΠδL9,0,259022150,1,29399
#gΛγoD,0,313107089,1,36712
yεWιOY,0,216272637,1,25316
ΓεI6Ξν,0,265322407,1,31041
4M!σSP,0,14415942,1,2053
4Kfυψτ,0,5969570,1,735
DZO1ξa,0,132729031,1,12306
lΦFqfK,0,245577530,1,26932
%isfDη,0,322864611,1,39218
ι%χI2σ,0,204269013,1,23943
WQΔ7xN,0,209581783,1,23986
hQbnVι,0,249272945,1,23154
!DOΓtx,0,312813979,1,34176
ζKCιca,0,264047568,1,28723
ζQP2Lχ,0,331366921,1,36853
qtΩNBψ,0,164540193,1,20803
WF%νvm,0,84417116,1,9366
qgσ4F1,0,302349993,1,33525
Fh24εj,0,165311724,1,19201
iD0γvΨ,0,145897478,1,17201
PιdhΨv,0,44982783,1,5873
wZyjGI,0,328629146,1,31525
μφχjΦv,0,160070723,1,16191
p#Yφ3R,0,273305835,1,27716
δRΓMxL,0,262728635,1,31381
!ΓΛMαt,0,384237862,1,40756
eY8HRχ,0,376235320,1,35953
cΓΔG3Y,0,238604435,1,26210
JDιΓBK,0,151284190,1,18387
4ψk$Δβ,0,33628106,1,3973
qEβV%δ,0,153875363,1,15697
νt6aφΩ,0,267075719,1,26496
ΦΛCILF,0,360210052,1,41460
εbΛVhH,0,285081764,1,31381
B6ΠQαΛ,0,77658466,1,9168
αNRDτg,0,255266162,1,29199
