String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ψ$NLj,0,219551251,1,3077
LvSλs,0,161234614,1,3272
tξQαb,0,190837604,1,3007
C@ΛWΩ,0,97847126,1,3552
3χλ4l,0,75406735,1,3427
tdΨ@V,0,63324329,1,3067
λγ7ZO,0,68185302,1,3212
G0εAμ,0,67248040,1,3332
8φΛζN,0,66741104,1,3697
Oy!pP,0,50584982,1,3692
@ΩgSγ,0,60259137,1,3222
ξνShW,0,46183000,1,3272
CΞAφθ,0,41414442,1,3272
ηPfθh,0,42049142,1,3432
ζs3κ%,0,9377160,1,3492
μ9PyΨ,0,11883281,1,3212
EtDeυ,0,10433952,1,3432
WγRχH,0,8629467,1,3427
fGXVE,0,6033679,1,3272
ZΨAωΣ,0,8195835,1,3767
6κrQΔ,0,10276360,1,3497
RS4Ωz,0,8411413,1,3287
fIψYδ,0,8763391,1,3422
%iOnA,0,6931429,1,3752
GυnωΠ,0,7976496,1,3492
zqEJφ,0,7441522,1,3217
Pn1Qθ,0,10223817,1,3697
p@uνN,0,6728280,1,3497
Nα3LΘ,0,7106418,1,3692
FΣυ%Y,0,6322053,1,3277
a0δL5,0,7161030,1,3272
φUΞθ#,0,5655034,1,3277
u6ιzΨ,0,7397446,1,3217
φνθ9I,0,7878053,1,3282
σkτζi,0,7590531,1,3287
ouGxγ,0,6226775,1,3012
AM9!ξ,0,5731283,1,3542
Ξζ4kμ,0,5944015,1,3477
φPg4D,0,5693132,1,3477
Sηc9B,0,7393139,1,3692
χ%0jκ,0,6132743,1,3482
gΘEe1,0,6270488,1,3422
Π@πτS,0,5479076,1,3272
ωBΩSV,0,5683509,1,3417
UlΔδχ,0,5548762,1,3287
u2χΣl,0,4859851,1,3002
ψχXβ6,0,5168937,1,2997
#LεpV,0,5246384,1,3272
GωλM%,0,5383673,1,3007
7MΣμl,0,6905568,1,3282
XΣσVΛ,0,7802065,1,3757
ηSX6V,0,7507410,1,3542
z!2Σι,0,7030627,1,3487
εeωEτ,0,6775722,1,3497
η6εω1,0,7002990,1,3547
γCzιΠ,0,10833972,1,3557
jrV1γ,0,7650966,1,3497
kκBQ%,0,7336867,1,3557
McΓsξ,0,6840275,1,3542
OTU#7,0,6015980,1,3492
rζN@Y,0,5790464,1,3287
hζnd#,0,6534667,1,3752
P$Λ3W,0,6808603,1,3757
7ΞζΘh,0,5210830,1,3077
!0νx#,0,6257422,1,3482
%kS7v,0,7205627,1,3752
bCδΦ@,0,5499605,1,3267
oκkβv,0,5596796,1,3267
μVdeh,0,6838006,1,3222
AιpΣ8,0,5782689,1,3007
ΔDplΣ,0,6126885,1,3012
0ΠΨRμ,0,6272510,1,3687
μθσι2,0,5611196,1,3062
μEω0n,0,15032408,1,3012
Eχλαn,0,8464789,1,3212
δτυαη,0,6073704,1,3482
cΓCΣν,0,5967600,1,3477
DlrVX,0,6042421,1,3497
ωeειΩ,0,5124415,1,3067
λKσVΓ,0,5986661,1,3492
D9MPi,0,6004959,1,3497
mζQaψ,0,6277681,1,3687
εQδπ%,0,6348298,1,3272
1λaΠR,0,6768858,1,3217
ζHqsδ,0,7874149,1,3762
τvσeH,0,6483326,1,3347
μξλai,0,5945926,1,3077
z!mZσ,0,6444791,1,3272
s7Xeα,0,6571588,1,3287
Σm@Qε,0,7211815,1,3697
pAΨuθ,0,6803931,1,3547
uYΓmp,0,8094593,1,3272
bβW!m,0,7255106,1,3427
NWAsf,0,6808675,1,3332
!j$ad,0,7369228,1,3687
ΛΞeiD,0,7331970,1,3272
PBΔυg,0,9196411,1,3267
φMWqx,0,6515867,1,3432
χyH%6,0,8166850,1,3752
χlDdy,0,6552521,1,3432
yιΞTα,0,6399133,1,3702
βiΛμw,0,6258557,1,3757
ΓTψW7,0,5671602,1,3347
zqεΩf,0,5851860,1,3542
Σ2Λ80,0,5447695,1,3272
qζ2cM,0,5612032,1,3427
aυxqb,0,6160689,1,3542
χtmUS,0,6035939,1,3552
1Dvυk,0,5198022,1,3007
υLJφχ,0,5805073,1,3337
zΞSTμ,0,5961452,1,3337
Gxυβλ,0,8827807,1,3482
5fuc9,0,7226977,1,3012
0SτχB,0,6412564,1,3067
ΛC9AΞ,0,5840003,1,3542
UξζTQ,0,5494997,1,3282
ψUΛaO,0,5079435,1,3012
g7Uμx,0,6077273,1,3432
nαχJM,0,5901861,1,3207
2Wbuτ,0,5707428,1,3287
bΨΞGJ,0,5784880,1,3432
ΣP3μC,0,6328525,1,3767
0CSD9,0,5699045,1,3497
αvβ1o,0,5431665,1,3342
WXbΛv,0,6263727,1,3687
!8Lμv,0,6452757,1,3757
EFαza,0,5587863,1,3002
YηΓ8K,0,5752131,1,3287
Σ2iΠΦ,0,5885703,1,3337
!NζξΛ,0,5989355,1,3277
V9#%m,0,5962016,1,3432
ζφNcR,0,6383393,1,3757
zkυκm,0,5986711,1,3547
ξυxvΩ,0,5336286,1,3277
7J3Kz,0,5655947,1,3212
σSmξ8,0,6948236,1,3287
ΩΘ$PC,0,5588480,1,3287
ιJuξA,0,6440621,1,3427
UωπA2,0,5218214,1,3062
αδd72,0,6849070,1,3687
λτχ5o,0,6034089,1,3487
cΓτ#C,0,5609373,1,3277
%J9oω,0,6221049,1,3752
ψΨRθω,0,5898856,1,3542
ΔμBΘT,0,5417066,1,3272
94jλn,0,5888771,1,3552
merΦσ,0,5531528,1,3277
iMεmn,0,5242581,1,3267
BNCst,0,5933137,1,3752
Xuχωη,0,6342437,1,3552
Jιlχ8,0,5806126,1,3277
6Qxz8,0,5407781,1,3067
bVf7ε,0,5584401,1,3222
YθGJU,0,5526117,1,3477
52Ωtb,0,5793216,1,3347
Raηk6,0,5287364,1,3267
kZXus,0,7058180,1,3757
%9oπ0,0,5962132,1,3477
υδtΦ8,0,6522107,1,3492
OλrΔζ,0,6074765,1,3492
2Nbzψ,0,5683195,1,3207
Y3JΛb,0,6022799,1,3337
BzΛΠZ,0,5664563,1,3222
2βNCU,0,6355443,1,3752
hιpCB,0,5566781,1,3337
ηuΨ7ξ,0,5729755,1,3337
