String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ψ$NLj,0,94691053,1,2461
LvSλs,0,81540277,1,2811
tξQαb,0,66648453,1,2377
C@ΛWΩ,0,50672968,1,3176
3χλ4l,0,29814287,1,2939
tdΨ@V,0,38792630,1,2455
λγ7ZO,0,36458503,1,2936
G0εAμ,0,40609211,1,2889
8φΛζN,0,46950531,1,3376
Oy!pP,0,45420780,1,3373
@ΩgSγ,0,35057098,1,2661
ξνShW,0,27840344,1,2374
CΞAφθ,0,33114554,1,2811
ηPfθh,0,28514409,1,2942
ζs3κ%,0,28875563,1,3098
μ9PyΨ,0,21673081,1,2655
EtDeυ,0,23077785,1,2942
WγRχH,0,21751692,1,2939
fGXVE,0,19827600,1,2733
ZΨAωΣ,0,19142442,1,3460
6κrQΔ,0,16183742,1,3023
RS4Ωz,0,14716740,1,2742
fIψYδ,0,15286991,1,2936
%iOnA,0,22975865,1,3451
GυnωΠ,0,22503247,1,3020
zqEJφ,0,20378043,1,3095
Pn1Qθ,0,21252679,1,3376
p@uνN,0,17680621,1,3023
Nα3LΘ,0,21427315,1,3373
FΣυ%Y,0,17204290,1,2736
a0δL5,0,19980448,1,2811
φUΞθ#,0,19117196,1,2814
u6ιzΨ,0,16870589,1,2377
φνθ9I,0,15103734,1,2380
σkτζi,0,16798741,1,2742
ouGxγ,0,15153609,1,2380
AM9!ξ,0,18270481,1,3170
Ξζ4kμ,0,23005935,1,3089
φPg4D,0,19369588,1,3089
Sηc9B,0,17702654,1,2936
χ%0jκ,0,18667834,1,3092
gΘEe1,0,16997488,1,2936
Π@πτS,0,17501235,1,2811
ωBΩSV,0,15948894,1,2652
UlΔδχ,0,16063166,1,2742
u2χΣl,0,13698559,1,2374
ψχXβ6,0,11305928,1,2371
#LεpV,0,2022421,1,2733
GωλM%,0,1870901,1,2377
7MΣμl,0,2182084,1,2739
XΣσVΛ,0,4503388,1,3454
ηSX6V,0,5133865,1,3170
z!2Σι,0,4896096,1,3095
εeωEτ,0,3399748,1,3023
η6εω1,0,3597111,1,3173
γCzιΠ,0,3767838,1,3179
jrV1γ,0,2190496,1,3023
kκBQ%,0,3232609,1,3179
McΓsξ,0,3471177,1,3170
OTU#7,0,2655365,1,3098
rζN@Y,0,2132742,1,2742
hζnd#,0,2466683,1,3451
P$Λ3W,0,6099389,1,3454
7ΞζΘh,0,1782306,1,2461
!0νx#,0,2252849,1,3092
%kS7v,0,2448486,1,3451
bCδΦ@,0,1987161,1,2808
oκkβv,0,2014030,1,2808
μVdeh,0,2097065,1,2942
AιpΣ8,0,2859074,1,2377
ΔDplΣ,0,2672701,1,2380
0ΠΨRμ,0,3255358,1,3370
μθσι2,0,2050220,1,2452
μEω0n,0,5297518,1,2380
Eχλαn,0,7167961,1,2655
δτυαη,0,7800439,1,3014
cΓCΣν,0,3584029,1,3089
DlrVX,0,2353581,1,3023
ωeειΩ,0,2017237,1,2455
λKσVΓ,0,3033587,1,3020
D9MPi,0,3381998,1,3023
mζQaψ,0,4389065,1,3370
εQδπ%,0,2500667,1,2811
1λaΠR,0,2698136,1,2377
ζHqsδ,0,4068470,1,3457
τvσeH,0,3224823,1,2898
μξλai,0,2176678,1,2380
z!mZσ,0,2338956,1,2811
s7Xeα,0,2832088,1,2742
Σm@Qε,0,2431187,1,3376
