String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,28960423,1,292
μτSΔ,0,19870980,1,297
Yzηυ,0,25306044,1,302
wpξD,0,19709733,1,292
sgYτ,0,13158490,1,267
κv@x,0,17778656,1,267
δnuΩ,0,19955370,1,327
Θζjθ,0,12537438,1,287
υo80,0,14662333,1,287
JΦφI,0,13242768,1,292
tLν@,0,9496817,1,297
εzΔM,0,11211644,1,292
QΣnγ,0,7119583,1,302
ΓλD2,0,7998316,1,327
8NBh,0,8722611,1,302
θΞιY,0,7684151,1,267
5ωsh,0,7727051,1,267
rιFμ,0,8911784,1,322
lψμH,0,8626000,1,302
α!2C,0,8613101,1,332
τυXμ,0,8736707,1,322
#8Hn,0,5725918,1,257
μ1#G,0,6223588,1,302
9Dκφ,0,5979504,1,267
%ΞaQ,0,5928449,1,292
2ξζΓ,0,5432577,1,267
χrυE,0,5479771,1,287
7πξA,0,5684266,1,297
αQuh,0,9684402,1,302
IxXz,0,5610930,1,292
ωHκg,0,5929543,1,322
μpSζ,0,2971321,1,302
σsAτ,0,2674199,1,267
3k8H,0,3233369,1,297
χ6κQ,0,9774928,1,287
74Dυ,0,4954511,1,302
Bf2%,0,4232832,1,267
ΞΓjU,0,5012825,1,322
hBaΘ,0,5014106,1,287
ιCRΘ,0,3528365,1,257
y985,0,3929821,1,287
χhdΞ,0,4520353,1,322
eι!ψ,0,4188256,1,322
Lξ%h,0,3501656,1,267
JNΦσ,0,3590228,1,287
yfσΔ,0,3893316,1,297
λc@τ,0,4260043,1,302
zΨδ0,0,3496344,1,287
lcγX,0,2929616,1,262
BgΨw,0,2950621,1,287
bxκ@,0,2972284,1,292
O7ML,0,3241843,1,292
σ8Ξ9,0,3066954,1,297
1κrP,0,2934160,1,292
iξGτ,0,2722046,1,267
xΩ4N,0,2868704,1,297
92εΣ,0,2463594,1,267
DφYn,0,2722131,1,292
@καφ,0,2865942,1,262
KkLM,0,2743958,1,327
nβxX,0,2324787,1,257
PξΨΓ,0,2492210,1,267
ζBlk,0,2246749,1,267
4YHd,0,6186602,1,322
Hlr1,0,2511603,1,322
%4Bz,0,2395942,1,302
9βuP,0,2581480,1,327
3voT,0,2102471,1,257
LWUm,0,2420112,1,302
ΔZΞμ,0,2626098,1,322
6uGΞ,0,2323467,1,287
rΓKD,0,2382541,1,287
UHα7,0,2112759,1,257
abqι,0,2147806,1,292
L$ψq,0,1410275,1,327
5fyψ,0,1161139,1,292
ΔWαt,0,1677356,1,292
aXωr,0,1807176,1,327
ωJ!U,0,2036984,1,322
R$Iι,0,1764476,1,287
βσζL,0,1653140,1,287
og8u,0,1562299,1,292
XWνλ,0,1704794,1,332
gbkι,0,1389909,1,262
$hIσ,0,1538447,1,292
oGψk,0,1065340,1,302
πLb8,0,1513353,1,302
OLΨm,0,830919,1,302
λ0rb,0,755794,1,292
φqυd,0,718616,1,287
Opaγ,0,773716,1,302
ωΔηΘ,0,658717,1,257
x0PΔ,0,751752,1,297
$gηυ,0,687273,1,267
TθfF,0,764672,1,297
%NBo,0,778062,1,297
7πΞ1,0,2785397,1,327
ΘQM1,0,787785,1,287
pQ62,0,736998,1,287
νyJ4,0,1633877,1,292
UτVI,0,1284463,1,297
EUxG,0,1207734,1,262
@υω0,0,1400031,1,327
JbsΠ,0,1367858,1,297
ΠZSσ,0,1421322,1,327
lQ6S,0,1252882,1,297
eΦVU,0,1568993,1,322
Σω4Q,0,1248322,1,292
nιLH,0,1068006,1,267
ξdfZ,0,856504,1,302
aΛRF,0,692582,1,287
LΔΣμ,0,732499,1,287
CΛ3Π,0,860304,1,302
α4Φδ,0,707039,1,292
τFpΓ,0,699623,1,297
nξfQ,0,771609,1,332
Gytσ,0,707219,1,297
ΓΩ$%,0,694731,1,297
VQωσ,0,705523,1,302
70mP,0,650868,1,262
χBU1,0,767095,1,327
CysT,0,743945,1,322
ηy@6,0,792138,1,327
wψlr,0,650851,1,262
Fζmd,0,678154,1,287
ξφX6,0,702425,1,292
6SWε,0,722687,1,302
KξΓJ,0,908782,1,297
ωDg!,0,709249,1,267
Σ$Zδ,0,820210,1,292
3Rωυ,0,3110547,1,302
01γN,0,999850,1,262
λjαk,0,627236,1,262
ναnq,0,733186,1,292
εΠ%m,0,693215,1,297
ypzΓ,0,691457,1,292
Πωξx,0,634974,1,267
ανMm,0,700014,1,297
XB3κ,0,765555,1,327
ζOxl,0,597586,1,257
NβIw,0,768616,1,322
ΛvL3,0,664779,1,287
γσlE,0,665847,1,287
3GΞΔ,0,715690,1,302
5ξΓγ,0,629837,1,267
0Γ9X,0,695751,1,297
uLpX,0,703827,1,302
ΓPωψ,0,757936,1,327
%MoS,0,665781,1,287
%!ND,0,655772,1,287
85#κ,0,763620,1,327
ΠPUR,0,769742,1,332
ΣEPI,0,693139,1,297
Bδ$U,0,736373,1,322
Glλβ,0,704649,1,302
3v1ζ,0,615121,1,267
MmUF,0,757215,1,327
1OωP,0,707103,1,297
eOKD,0,717036,1,287
jβ@V,0,952108,1,322
6rωw,0,1014302,1,322
ZT4υ,0,818742,1,297
18!L,0,1103485,1,297
EΞBγ,0,831455,1,267
WEG!,0,950472,1,262
Cr3k,0,689255,1,302
2OgE,0,814952,1,292
UψΩ@,0,668738,1,262
K!φΨ,0,1023297,1,292
Idσe,0,1112170,1,292
RΦΔS,0,660185,1,322
ζΦJe,0,1213286,1,287
