String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
ψ$NLj,0,31161099,1,476
LvSλs,0,31199000,1,826
tξQαb,0,13147483,1,389
C@ΛWΩ,0,32124526,1,1188
3χλ4l,0,26081673,1,954
tdΨ@V,0,24304747,1,907
λγ7ZO,0,13157557,1,670
G0εAμ,0,21193803,1,904
8φΛζN,0,21444266,1,1388
Oy!pP,0,22500198,1,1388
@ΩgSγ,0,5929270,1,676
ξνShW,0,3177509,1,389
CΞAφθ,0,6982316,1,826
ηPfθh,0,7312609,1,957
ζs3κ%,0,9434472,1,1113
μ9PyΨ,0,7339839,1,667
EtDeυ,0,9019320,1,957
WγRχH,0,7666833,1,951
fGXVE,0,5812864,1,748
ZΨAωΣ,0,24847689,1,1475
6κrQΔ,0,7329520,1,1038
RS4Ωz,0,4662711,1,757
fIψYδ,0,6100446,1,951
%iOnA,0,9534089,1,1466
GυnωΠ,0,6680053,1,1035
zqEJφ,0,4432187,1,673
Pn1Qθ,0,13084070,1,1388
p@uνN,0,7063057,1,1038
Nα3LΘ,0,10157947,1,1388
FΣυ%Y,0,5594827,1,1032
a0δL5,0,4519461,1,826
φUΞθ#,0,4461080,1,829
u6ιzΨ,0,3240220,1,667
φνθ9I,0,1907901,1,395
σkτζi,0,3463877,1,754
ouGxγ,0,1922660,1,392
AM9!ξ,0,5838088,1,1185
Ξζ4kμ,0,5366443,1,1104
φPg4D,0,4757281,1,1104
Sηc9B,0,3586039,1,951
χ%0jκ,0,4428232,1,1107
gΘEe1,0,6299817,1,951
Π@πτS,0,3279414,1,826
ωBΩSV,0,3318009,1,948
UlΔδχ,0,4956895,1,1038
u2χΣl,0,1995401,1,389
ψχXβ6,0,2035767,1,386
#LεpV,0,3615257,1,748
GωλM%,0,1337016,1,389
7MΣμl,0,3474016,1,754
XΣσVΛ,0,6634709,1,1469
ηSX6V,0,3388835,1,1185
z!2Σι,0,2425851,1,1110
εeωEτ,0,1999884,1,1038
η6εω1,0,2374353,1,1185
γCzιΠ,0,2416549,1,1191
jrV1γ,0,1909856,1,1038
kκBQ%,0,2292306,1,1194
McΓsξ,0,2064059,1,1185
OTU#7,0,2213626,1,1394
rζN@Y,0,1191355,1,757
hζnd#,0,2318979,1,1466
P$Λ3W,0,4461260,1,1469
7ΞζΘh,0,782795,1,476
!0νx#,0,1706531,1,1104
%kS7v,0,1888081,1,1466
bCδΦ@,0,540655,1,386
oκkβv,0,1109403,1,823
μVdeh,0,1038153,1,957
AιpΣ8,0,492748,1,392
ΔDplΣ,0,486329,1,395
0ΠΨRμ,0,1567411,1,1385
μθσι2,0,556023,1,467
μEω0n,0,802273,1,395
Eχλαn,0,902909,1,670
δτυαη,0,1318547,1,1029
cΓCΣν,0,1532287,1,1104
DlrVX,0,1175652,1,1038
ωeειΩ,0,570557,1,470
λKσVΓ,0,1189297,1,1035
D9MPi,0,1231448,1,1038
mζQaψ,0,1648228,1,1385
εQδπ%,0,1302145,1,826
1λaΠR,0,507012,1,386
ζHqsδ,0,1779236,1,1472
τvσeH,0,1325523,1,913
μξλai,0,435753,1,476
z!mZσ,0,3937627,1,826
s7Xeα,0,970731,1,754
Σm@Qε,0,1900792,1,1472
pAΨuθ,0,2008158,1,1469
uYΓmp,0,693272,1,748
bβW!m,0,984821,1,954
NWAsf,0,832142,1,904
!j$ad,0,1129890,1,1385
ΛΞeiD,0,660515,1,823
PBΔυg,0,651404,1,823
φMWqx,0,717151,1,957
χyH%6,0,1109382,1,1466
χlDdy,0,689313,1,957
yιΞTα,0,1053690,1,1394
βiΛμw,0,1062857,1,1466
ΓTψW7,0,773005,1,913
zqεΩf,0,914682,1,1185
Σ2Λ80,0,667888,1,826
qζ2cM,0,688899,1,954
aυxqb,0,887356,1,1185
χtmUS,0,903827,1,1191
1Dvυk,0,324158,1,392
υLJφχ,0,718020,1,907
zΞSTμ,0,720675,1,904
Gxυβλ,0,725496,1,1029
5fuc9,0,326030,1,395
0SτχB,0,371529,1,467
ΛC9AΞ,0,1120932,1,1185
UξζTQ,0,542888,1,754
ψUΛaO,0,340350,1,395
g7Uμx,0,744119,1,1038
nαχJM,0,738981,1,667
2Wbuτ,0,569911,1,757
bΨΞGJ,0,688795,1,957
ΣP3μC,0,1338387,1,1394
0CSD9,0,739088,1,1038
αvβ1o,0,734145,1,910
WXbΛv,0,1252640,1,1385
!8Lμv,0,1173127,1,1469
EFαza,0,589028,1,470
YηΓ8K,0,377400,1,476
Σ2iΠΦ,0,704968,1,907
!NζξΛ,0,739422,1,1032
V9#%m,0,2556333,1,957
ζφNcR,0,1152235,1,1469
zkυκm,0,957339,1,1188
ξυxvΩ,0,578351,1,751
7J3Kz,0,840447,1,670
σSmξ8,0,854629,1,754
ΩΘ$PC,0,1208762,1,1038
ιJuξA,0,909637,1,1035
UωπA2,0,374242,1,467
αδd72,0,1597705,1,1385
λτχ5o,0,738537,1,1032
cΓτ#C,0,536357,1,751
%J9oω,0,1020988,1,1466
ψΨRθω,0,1201223,1,1185
ΔμBΘT,0,1184266,1,907
94jλn,0,1402746,1,1191
merΦσ,0,557651,1,829
iMεmn,0,774784,1,1104
BNCst,0,870655,1,1466
Xuχωη,0,787974,1,1191
Jιlχ8,0,557209,1,829
6Qxz8,0,308888,1,470
bVf7ε,0,417276,1,676
YθGJU,0,693486,1,1104
52Ωtb,0,592723,1,910
Raηk6,0,547056,1,823
kZXus,0,905335,1,1469
%9oπ0,0,714985,1,1104
υδtΦ8,0,709019,1,1110
OλrΔζ,0,709570,1,1110
2Nbzψ,0,413883,1,667
Y3JΛb,0,587194,1,907
BzΛΠZ,0,425134,1,676
2βNCU,0,866567,1,1466
hιpCB,0,592603,1,907
ηuΨ7ξ,0,602200,1,904
1Γφfβ,0,624152,1,1038
drNψΛ,0,459341,1,751
E6τzj,0,305464,1,470
κxqΛb,0,875536,1,1466
zλ%Ππ,0,706188,1,1110
4oιNe,0,680521,1,1104
jΦVχΣ,0,418259,1,676
ocθεT,0,3600708,1,1104
EIτκζ,0,1028554,1,751
S1rνH,0,476847,1,757
Γ7MgJ,0,480426,1,757
%NcμB,0,924669,1,1472
dOjφu,0,276687,1,386
b!θΨυ,0,277841,1,395
Ji5νκ,0,1529424,1,1469
%0ΦνV,0,746154,1,1188
TWudX,0,331899,1,476
XωFJK,0,270767,1,395
CtΔ5$,0,598997,1,907
χδNoπ,0,619345,1,913
chΛδθ,0,847282,1,1385
ΔVG8k,0,437140,1,676
ω7Θυβ,0,309963,1,392
pεPΘ$,0,866082,1,1388
YαΩru,0,855352,1,1385
LνGιT,0,614916,1,823
mIξqχ,0,844507,1,954
I%5dμ,0,902038,1,1466
λXΠxχ,0,411626,1,667
πhΣWκ,0,888341,1,1469
0Jgkκ,0,574954,1,951
isKλσ,0,590725,1,910
χEQeb,0,594392,1,910
ΛBwRε,0,476804,1,676
cL8πr,0,306528,1,467
Y59Ol,0,575870,1,826
ψEfσμ,0,689387,1,1104
0qψwj,0,606934,1,1038
ηJδQΓ,0,607351,1,1035
wcθΣΛ,0,418387,1,670
qPιQΣ,0,617507,1,1038
gSζ2l,0,456518,1,754
56βhO,0,490448,1,389
1ΨΘ6D,0,1300868,1,1185
ΓPυbΛ,0,1352960,1,1188
Λαh#k,0,810856,1,751
6K%ΣL,0,1009638,1,951
γbM#u,0,1309590,1,1188
ηπcYJ,0,423268,1,676
7δγ%ψ,0,720978,1,1185
FTGδυ,0,267447,1,395
b$wfT,0,839544,1,1391
NαHΞ0,0,879072,1,1469
IγμKα,0,1177753,1,1388
giQυν,0,829197,1,1385
$λ7zζ,0,416163,1,673
Y!4ζz,0,269038,1,395
P9pwZ,0,864866,1,1038
gKΦΠ%,0,554537,1,948
79ξgb,0,605811,1,1035
UΨfEγ,0,807294,1,957
KYXFh,0,759039,1,1194
JTSπn,0,557173,1,829
ιπqcΘ,0,882298,1,1032
Kjwdv,0,858904,1,1388
l8χμo,0,989002,1,1188
sξτχP,0,311710,1,470
ζαg$r,0,856518,1,1388
0blod,0,811670,1,904
ΩΨTOY,0,421561,1,676
RUhτu,0,535657,1,826
3A0Zc,0,410485,1,670
XVfψθ,0,941203,1,1113
UwμkΔ,0,271388,1,392
@kS1g,0,1097144,1,1466
TUθ#$,0,526532,1,476
εΘFh8,0,424101,1,673
cWhPζ,0,313103,1,473
νEMδl,0,314169,1,476
CTrQD,0,873323,1,904
xmσA5,0,930132,1,1469
L8rKa,0,1050856,1,1107
