String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
Jnτβ,0,4313458533,1,79173345
μτSΔ,0,21689560281,1,299603376
Yzηυ,0,7809832070,1,140565678
wpξD,0,13841844855,1,237616785
sgYτ,0,13125932805,1,220992510
κv@x,0,16488891039,1,290656518
δnuΩ,0,15172293701,1,265952355
Θζjθ,0,18902873530,1,351951423
υo80,0,18625448562,1,322821711
JΦφI,0,4593415033,1,80879430
tLν@,0,12614983820,1,224216661
εzΔM,0,14902535831,1,270511752
QΣnγ,0,6473088820,1,109250643
ΓλD2,0,19789018888,1,344020077
8NBh,0,1545858153,1,33423765
θΞιY,0,15267247981,1,283783863
5ωsh,0,1236372251,1,23695665
rιFμ,0,13040040963,1,218061135
lψμH,0,10114050521,1,194208087
α!2C,0,12766259225,1,255575652
τυXμ,0,17394154497,1,319948995
#8Hn,0,20888724071,1,390150378
μ1#G,0,16109178475,1,296504124
9Dκφ,0,1778724131,1,37102731
%ΞaQ,0,22028272482,1,401527614
2ξζΓ,0,546967393,1,11194398
χrυE,0,17471324607,1,331093533
7πξA,0,1426357737,1,31541046
αQuh,0,12963153970,1,252836475
IxXz,0,4205456357,1,75500559
ωHκg,0,19443346608,1,337749807
μpSζ,0,16128337690,1,298506987
σsAτ,0,17031968821,1,314863965
3k8H,0,650151885,1,14053362
χ6κQ,0,18075762658,1,329181894
74Dυ,0,1372183127,1,28592583
Bf2%,0,2574424629,1,46332990
ΞΓjU,0,18361619575,1,360762801
hBaΘ,0,9766908371,1,175067934
ιCRΘ,0,17308698863,1,284741229
y985,0,13932546668,1,244005426
χhdΞ,0,19091764268,1,330671505
eι!ψ,0,8656891823,1,165305292
Lξ%h,0,4514394350,1,88358325
JNΦσ,0,4304232610,1,78122922
yfσΔ,0,13346354872,1,245332971
λc@τ,0,16221015269,1,293945685
zΨδ0,0,13574154224,1,251459316
lcγX,0,11723679724,1,192417870
BgΨw,0,2720869644,1,46409925
bxκ@,0,8886745187,1,152667546
O7ML,0,5663244954,1,97748154
σ8Ξ9,0,16635631316,1,313027518
1κrP,0,361020696,1,6965526
iξGτ,0,10180822012,1,181719135
xΩ4N,0,14655800960,1,243354075
92εΣ,0,2460264551,1,36654081
DφYn,0,3501815716,1,56050608
@καφ,0,20286236979,1,388666206
KkLM,0,4143398098,1,83088927
nβxX,0,11095002491,1,201552180
PξΨΓ,0,6407334408,1,104598438
ζBlk,0,14772180936,1,272526789
4YHd,0,921693024,1,17630418
Hlr1,0,5091341876,1,70960614
%4Bz,0,25388166696,1,398106774
9βuP,0,2195470334,1,39126741
3voT,0,638766940,1,14517063
LWUm,0,4897904145,1,86584785
ΔZΞμ,0,20608802555,1,346608885
6uGΞ,0,1550489086,1,26644680
rΓKD,0,11295153948,1,218631450
UHα7,0,6610451678,1,122533992
abqι,0,9317808119,1,147705861
L$ψq,0,5171152340,1,89245182
5fyψ,0,1316056243,1,21992802
ΔWαt,0,20129314878,1,346476486
aXωr,0,8981768066,1,147555945
ωJ!U,0,20916822159,1,337840296
R$Iι,0,6920280725,1,113582946
βσζL,0,14273103173,1,258972324
og8u,0,11921301082,1,204739494
XWνλ,0,6919640769,1,135329937
gbkι,0,9153411329,1,172067061
$hIσ,0,23572973481,1,395632647
oGψk,0,11438833903,1,203713704
πLb8,0,18905673287,1,309474120
OLΨm,0,5745875989,1,98345055
λ0rb,0,18334169089,1,292385562
φqυd,0,19923417733,1,326992398
Opaγ,0,5180673408,1,99540573
ωΔηΘ,0,18381362579,1,340509864
x0PΔ,0,13958311897,1,239586501
$gηυ,0,23847774691,1,395612298
TθfF,0,8277207946,1,120576366
%NBo,0,26628762827,1,398878236
7πΞ1,0,1676083805,1,31546284
ΘQM1,0,20468825191,1,350277099
pQ62,0,11812404058,1,208149447
νyJ4,0,17376273122,1,302929203
UτVI,0,8184372757,1,124998375
EUxG,0,4564704074,1,58090989
@υω0,0,25649097739,1,388999311
JbsΠ,0,4296423117,1,78676443
ΠZSσ,0,23750052130,1,362827017
lQ6S,0,10318649069,1,191907105
eΦVU,0,8614865171,1,166132326
Σω4Q,0,21771898497,1,368826789
nιLH,0,11324065774,1,201820977
ξdfZ,0,16928275285,1,306146106
aΛRF,0,8235452157,1,149725821
LΔΣμ,0,4582600743,1,88761225
CΛ3Π,0,2556850938,1,52261803
α4Φδ,0,13775998401,1,251957406
τFpΓ,0,19276527102,1,317357598
nξfQ,0,13129793910,1,202032129
Gytσ,0,4520390636,1,67428912
ΓΩ$%,0,18085728165,1,344907090
VQωσ,0,7616910082,1,126968757
70mP,0,1418507058,1,28444176
χBU1,0,20191524753,1,329368239
CysT,0,3177612973,1,51185943
ηy@6,0,15370645524,1,278596359
wψlr,0,14926438867,1,238864320
Fζmd,0,3289436463,1,63649593
ξφX6,0,17953270438,1,307807584
6SWε,0,1531618295,1,25514154
KξΓJ,0,4947598156,1,84291978
ωDg!,0,19476518203,1,337575798
Σ$Zδ,0,26315575873,1,369407931
3Rωυ,0,769073699,1,13312428
01γN,0,3585148,1,67020
λjαk,0,17658090753,1,294216459
ναnq,0,20174391419,1,303022707
εΠ%m,0,16147788446,1,271654035
ypzΓ,0,14266229273,1,245732538
Πωξx,0,20135236169,1,364795038
ανMm,0,16551886279,1,254771760
XB3κ,0,7387142529,1,134448474
ζOxl,0,19855770316,1,273059517
NβIw,0,5020045413,1,95959920
ΛvL3,0,19456139697,1,355596060
γσlE,0,14846702878,1,263024808
3GΞΔ,0,557535967,1,12867816
5ξΓγ,0,1235756363,1,23383038
0Γ9X,0,159599060,1,3414990
uLpX,0,12680757647,1,228267765
ΓPωψ,0,23070944452,1,342140232
%MoS,0,21838457034,1,398853360
%!ND,0,24038821992,1,401765940
85#κ,0,1990208373,1,32727384
ΠPUR,0,21552842685,1,362421627
ΣEPI,0,24575379711,1,366033525
Bδ$U,0,2456620957,1,47345781
Glλβ,0,4582184652,1,66907890
3v1ζ,0,966020615,1,14497332
MmUF,0,5570410909,1,91294971
1OωP,0,473964608,1,5069241
eOKD,0,11925492623,1,163407285
jβ@V,0,10295334224,1,185324334
6rωw,0,1285001792,1,26549910
ZT4υ,0,9230669981,1,143301003
18!L,0,235852101,1,4424004
EΞBγ,0,3429133780,1,60426783
WEG!,0,7263092163,1,130515018
Cr3k,0,2825453588,1,50881104
2OgE,0,504045591,1,9113208
UψΩ@,0,6668476805,1,125186136
K!φΨ,0,4889348743,1,85062072
Idσe,0,4426060815,1,74706216
RΦΔS,0,5867725849,1,113366325
ζΦJe,0,17560151263,1,275763831
iIΨp,0,10735159265,1,179435349
UVχo,0,6951467887,1,123110286
hsuΓ,0,11567560851,1,176822043
θXZS,0,15483786077,1,281536395
vdgG,0,15488008700,1,233055564
pΩIΨ,0,14580129888,1,210875112
aqλθ,0,9052657810,1,148323033
2@ιG,0,729618475,1,12007509
yfA2,0,13880219968,1,245305587
qo3γ,0,12412593318,1,213183543
%kνy,0,26386326104,1,399837696
ξnkw,0,18030403777,1,306554250
υΛh#,0,18557839240,1,324338559
νσgl,0,18597175217,1,303628932
ι#lg,0,20787629629,1,288160017
ΞEΔz,0,21272790310,1,357936744
τgεI,0,17813823633,1,318459810
Kκψj,0,4669708109,1,84128826
Nj4U,0,6683258453,1,95223276
χgs%,0,21416819665,1,330637005
J@fW,0,4503247291,1,81026097
ΞoAn,0,20735559566,1,359368113
KΓMΔ,0,6455523101,1,84632511
Γ6e8,0,20048007883,1,341351100
D$lu,0,3542108855,1,56746179
9δ#Ξ,0,2151429455,1,39224340
PΔΩ5,0,5682917656,1,105004656
ζ1υq,0,18344054029,1,272133717
νHI9,0,17962719509,1,301182798
HεrΔ,0,4359791131,1,71732361
R1Tε,0,7561096279,1,109689309
2pσF,0,720924640,1,10223721
#4qA,0,25111794545,1,390002016
Vwnω,0,7356127969,1,128254365
E3κi,0,3327738975,1,56999598
βΘqf,0,14508897917,1,259331754
anWΔ,0,8996119371,1,148185066
σruG,0,20127085813,1,314841804
ΛXyκ,0,22380589719,1,354637539
dCJK,0,8909242879,1,158859036
L6%J,0,4789615283,1,85556508
@YuR,0,23613602014,1,387161232
uCVX,0,14687762557,1,227894220
KφFP,0,4678809815,1,84467076
Lwξ$,0,7005525444,1,87658887
pBmo,0,13108961451,1,207557526
Ψ0aj,0,23857230488,1,373590801
xRlΠ,0,13743189180,1,240691758
eΨox,0,9020599749,1,166180713
bχVv,0,7994176457,1,153544542
θ0ΘK,0,17673950619,1,280217061
dΛkX,0,11051056353,1,161915385
Gκψj,0,3990033169,1,67886406
δ7WZ,0,13780182639,1,264237051
Ωlor,0,23269549153,1,379565535
ξpQl,0,20800386006,1,306627327
πyχr,0,20969995395,1,311075670
7UCY,0,1885242545,1,29647773
%τλξ,0,22364026315,1,401136291
JM5a,0,4143207357,1,78047364
νι8ξ,0,18143264839,1,303331011
hfq8,0,12310750165,1,176292330
d$D0,0,9292775465,1,162307971
ψhUχ,0,20056030727,1,334728444
aT8λ,0,8404708877,1,147363207
πθLδ,0,20010733511,1,311416851
pKπΘ,0,12948482754,1,207934419
u4Ω0,0,13565243603,1,227594391
KξμX,0,5327360986,1,84287565
2ΠζW,0,782935383,1,11762712
oSν#,0,11779160297,1,204197874
Z2Tφ,0,8702339084,1,142214796
ΦγZa,0,22818038993,1,372128484
jHμs,0,11532359938,1,183447663
υcfW,0,20302944138,1,322347912
Φ6QJ,0,24689786786,1,369769698
XζcΞ,0,7313097932,1,136736580
@DΔX,0,23281147889,1,386320290
nilM,0,12772665307,1,200775792
9zγπ,0,2055831387,1,39048924
ΩεqΞ,0,22036274661,1,380337945
D8JΣ,0,2562637357,1,53121096
Nβwu,0,5409752933,1,95976114
Πqn9,0,22898146266,1,363525603
ν1LD,0,16520391631,1,300534345
daFO,0,9109737479,1,159831948
Pxλγ,0,6116939118,1,103940598
χHτ@,0,21040763752,1,329631591
IβEe,0,4465200199,1,75655221
eαv6,0,10006778570,1,164965239
tzΨ7,0,16657007405,1,225847887
KmκΨ,0,6059965555,1,83190597
%πΓO,0,22576254325,1,401059788
μlΞβ,0,19991006401,1,298368855
V6BI,0,6778096030,1,126127320
vμyΠ,0,14231103448,1,234443643
ξνγτ,0,18349747000,1,307576725
wψD3,0,14297890730,1,238850400
n1μΘ,0,11950774016,1,199040499
ξwTν,0,17291025803,1,306912858
ΓFΨN,0,21054269488,1,341737650
c@yΛ,0,9451638359,1,158185452
nKl!,0,11099225144,1,199801488
ΛλXy,0,23170783283,1,356210166
ΣCωu,0,21666331557,1,365975919
Ψbto,0,22314885176,1,375100896
GΠιΞ,0,4176627417,1,68612565
m6ΘT,0,14390459879,1,195188013
DΩzZ,0,3385723801,1,56589366
υKγp,0,18820525663,1,321626394
