String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
z!δxΩ,0,22014505927,1,402000105
δφτWu,0,28693491423,1,402000105
7φΓaε,0,20966304411,1,402000105
P02ΠF,0,22655049778,1,402000105
βΦs7ζ,0,22655839384,1,402000105
WβLAξ,0,22788597278,1,402000105
2Γ!qδ,0,21452916128,1,402000105
$3ηPf,0,22270113546,1,402000105
E$jΓΛ,0,21089479569,1,402000105
wFx0g,0,22679185734,1,402000105
pΨIog,0,20501552682,1,402000105
OκU%M,0,21085689713,1,402000105
$017@,0,21245317872,1,402000105
kητ8H,0,22321005888,1,402000105
χXδζx,0,23136480115,1,402000105
aηzχK,0,21659153272,1,402000105
εGφa6,0,22333682792,1,402000105
α8ΘdQ,0,21231543054,1,402000105
δzχLI,0,21154657130,1,402000105
Oi7nτ,0,22111243158,1,402000105
νζoΨX,0,20867022887,1,402000105
S7pHi,0,21836291233,1,402000105
σ5UΓM,0,21593142652,1,402000105
@μτJι,0,22193087120,1,402000105
βΘbυ1,0,20801531136,1,402000105
nvY9γ,0,21322722357,1,402000105
47φkι,0,22072750215,1,402000105
Ψβσελ,0,21854632469,1,402000105
ηWκ9%,0,22324471868,1,402000105
6κπjξ,0,22559397009,1,402000105
μΓ4σW,0,20595907677,1,402000105
χφ3Φβ,0,23116364973,1,402000105
ΠQykK,0,21920136687,1,402000105
@M81e,0,21106864087,1,402000105
ΞQxoN,0,20642519466,1,402000105
ηU8!T,0,21377066683,1,402000105
9Z8Jψ,0,22624964953,1,402000105
H5iκf,0,21136977538,1,402000105
kξ$Fz,0,22464639828,1,402000105
UjΔ5q,0,21565293321,1,402000105
ωaPiι,0,21960684485,1,402000105
kαYΓA,0,21886771613,1,402000105
νbY%Σ,0,20667731466,1,402000105
7HevY,0,21097396666,1,402000105
ιG#h7,0,22676277712,1,402000105
νσ@δf,0,21601300480,1,402000105
Abιiε,0,22303383667,1,402000105
υζSΨΣ,0,20623533561,1,402000105
Qφg9β,0,23578064645,1,402000105
O2omA,0,22279987365,1,402000105
SvNLΘ,0,22786035169,1,402000105
uktpΛ,0,21126573474,1,402000105
ΔεμLω,0,21364194736,1,402000105
FψO4ζ,0,22452940131,1,402000105
lRDαG,0,21176716097,1,402000105
m1vΞθ,0,23150081178,1,402000105
Ψ9jYa,0,21784599716,1,402000105
IQ$kD,0,21340278057,1,402000105
Ou#6e,0,21912697588,1,402000105
χhωCJ,0,21392047032,1,402000105
gτζAX,0,21542270031,1,402000105
θSω0K,0,21579005564,1,402000105
lΣ2BW,0,21705483628,1,402000105
iWΔtX,0,21015805332,1,402000105
oqθε#,0,20951545761,1,402000105
γDkκι,0,22688659963,1,402000105
CτγL7,0,22489822388,1,402000105
iTψtω,0,20719770120,1,402000105
$Πι@k,0,21482435981,1,402000105
aoQtθ,0,21568548809,1,402000105
iExγ!,0,21934315265,1,402000105
ωMSkκ,0,21080052470,1,402000105
VξbΘ!,0,21947991908,1,402000105
wbFj!,0,20897355860,1,402000105
6q%Rh,0,20111491478,1,402000105
χfScm,0,21845957190,1,402000105
γmψθl,0,21952093035,1,402000105
Ωπyσβ,0,21143823378,1,402000105
OSπHY,0,22889149590,1,402000105
Πl6IH,0,20376793443,1,402000105
ΛerqΞ,0,22052754813,1,402000105
Ipo%a,0,22080071671,1,402000105
1vUfo,0,21625523864,1,402000105
νξuαm,0,20120787628,1,402000105
WwCΦY,0,21762511527,1,402000105
Ω6@$U,0,22490908157,1,402000105
%67υπ,0,22884753000,1,402000105
XtΩyv,0,22449674374,1,402000105
%rυK0,0,19819244271,1,402000105
D$ΔVγ,0,22780474199,1,402000105
lΞητε,0,21730171879,1,402000105
tCβSu,0,22173697265,1,402000105
B5xζI,0,22188660376,1,402000105
εJfNc,0,20299387350,1,402000105
!3eba,0,21300498728,1,402000105
ι9kKi,0,22372378849,1,402000105
kDnbd,0,22541975385,1,402000105
sfVv6,0,22445953798,1,402000105
Σ9Uνr,0,21709158968,1,402000105
zLΣ2D,0,22572130129,1,402000105
ιqGζν,0,21939325554,1,402000105
γOαIB,0,22877627533,1,402000105
ΦEVZχ,0,21813188040,1,402000105
vWμ6ω,0,21065065519,1,402000105
89zγΛ,0,20942730332,1,402000105
rKlιj,0,21057800844,1,402000105
IgΩ%w,0,23114402705,1,402000105
xκQλδ,0,21765945903,1,402000105
o9!3υ,0,20918140978,1,402000105
tumγN,0,22134934810,1,402000105
jivΓZ,0,20957231769,1,402000105
%lFLΔ,0,23318600304,1,402000105
λFυGD,0,20842036021,1,402000105
eΠqΞω,0,21921980722,1,402000105
ηhOψΩ,0,21912209517,1,402000105
!ψωWθ,0,21217954365,1,402000105
y6βδχ,0,20691891597,1,402000105
ηφ@υm,0,23049132079,1,402000105
Ψqψj0,0,21618324101,1,402000105
5gΘyδ,0,22174788189,1,402000105
ΩG6bA,0,20821433484,1,402000105
νΨΛBσ,0,21700493473,1,402000105
δβ3ΦB,0,21391024874,1,402000105
σhugx,0,21457592127,1,402000105
λγLJy,0,21325473659,1,402000105
dKλψΘ,0,21949205712,1,402000105
νμqY8,0,22924847569,1,402000105
αkpL5,0,21686723304,1,402000105
rητKμ,0,22511157381,1,402000105
1GΛΨA,0,20347626809,1,402000105
ΛμΩ8Θ,0,20887308434,1,402000105
ΦwβxP,0,21984576990,1,402000105
ΘlΔ8β,0,20982165484,1,402000105
W6MλP,0,21724574404,1,402000105
H9Fγν,0,20667370666,1,402000105
ΠKDjζ,0,22102965407,1,402000105
LkΔjT,0,22709723110,1,402000105
χQ9wψ,0,21493518977,1,402000105
