String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
azGε,0,12618748,1,1129
ωa0m,0,4368336,1,394
συ8W,0,25512737,1,1459
τ%ιA,0,1674544,1,169
KuWN,0,664390,1,58
sIx%,0,5581487,1,1507
ZjAε,0,1857652,1,514
6ΨVν,0,545042,1,262
wnφL,0,290275,1,88
CsJ$,0,2047212,1,1120
Kφηζ,0,796966,1,250
DμfH,0,4526834,1,2140
LARF,0,673117,1,784
ΛβBb,0,2550130,1,1276
HGeΦ,0,7550020,1,2956
Tck6,0,1534951,1,1579
ωχqΠ,0,473076,1,541
EIiT,0,238553,1,385
ωΨΔ9,0,674755,1,904
Bt3Ξ,0,122878,1,181
JnΓε,0,999239,1,1288
2Π0N,0,308706,1,262
JψZ0,0,1331010,1,1456
CfEq,0,313473,1,541
tθΣl,0,1030238,1,1828
πΛNI,0,73455,1,235
ΦζAΛ,0,1102417,1,1603
8TJm,0,542207,1,820
rkΓε,0,1114817,1,1918
s5Γι,0,981403,1,1675
zΦY$,0,498325,1,1408
13μt,0,244985,1,826
ΔdKI,0,195621,1,454
dγUL,0,186244,1,373
ψβ3f,0,48338,1,100
@υ!w,0,1169054,1,3611
XuκF,0,996376,1,2323
Θπaj,0,601852,1,1087
λ5Yj,0,118351,1,97
YV$c,0,610486,1,964
L4rΔ,0,823393,1,1564
H9Rχ,0,619241,1,1432
ητξQ,0,803421,1,1837
9!πd,0,1623934,1,3518
xΞwp,0,120039,1,268
Bξφi,0,724976,1,1489
ξ5SΦ,0,218047,1,268
jΘfr,0,87384,1,109
bSkη,0,1001439,1,2125
iΠWυ,0,676718,1,1705
l@3J,0,304182,1,475
σιL7,0,676475,1,1015
OcxJ,0,359843,1,748
ntd#,0,528252,1,1075
rAXM,0,908226,1,1474
q6Σn,0,95823,1,112
Δ$tc,0,563255,1,883
z2K@,0,367334,1,739
φqTu,0,245474,1,550
αuOξ,0,270596,1,763
Iμck,0,71006,1,130
κzgp,0,98843,1,214
κθσχ,0,985564,1,2323
ζΔMΛ,0,1381772,1,2389
