String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
ψ$NLj,0,53013174,1,11171
LvSλs,0,115295842,1,46459
tξQαb,0,14848668,1,5782
C@ΛWΩ,0,29343677,1,11681
3χλ4l,0,93128130,1,78343
tdΨ@V,0,841394,1,158
λγ7ZO,0,2029835,1,1263
G0εAμ,0,24740543,1,19660
8φΛζN,0,2312041,1,2663
Oy!pP,0,35260794,1,15310
@ΩgSγ,0,17744301,1,20289
ξνShW,0,27289970,1,38111
CΞAφθ,0,568019,1,198
ηPfθh,0,19325286,1,29378
ζs3κ%,0,13254242,1,62316
μ9PyΨ,0,4183800,1,29578
EtDeυ,0,1109411,1,9792
WγRχH,0,8971804,1,11926
fGXVE,0,2992635,1,29408
ZΨAωΣ,0,7745283,1,44900
6κrQΔ,0,2587215,1,15120
RS4Ωz,0,7007888,1,70064
fIψYδ,0,1111930,1,10796
%iOnA,0,2181994,1,16060
GυnωΠ,0,8185446,1,51353
zqEJφ,0,1553286,1,15240
Pn1Qθ,0,335661,1,2738
p@uνN,0,505425,1,4798
Nα3LΘ,0,706323,1,6462
FΣυ%Y,0,320590,1,1618
a0δL5,0,1924292,1,10216
φUΞθ#,0,3264058,1,34612
u6ιzΨ,0,2704759,1,25158
φνθ9I,0,3342157,1,32982
σkτζi,0,13188755,1,36686
ouGxγ,0,3872596,1,40320
AM9!ξ,0,758580,1,7332
Ξζ4kμ,0,504949,1,4803
φPg4D,0,1669273,1,15210
Sηc9B,0,4034234,1,34942
χ%0jκ,0,1578256,1,15535
gΘEe1,0,2585942,1,28028
Π@πτS,0,2664845,1,10271
ωBΩSV,0,141053,1,98
UlΔδχ,0,1057969,1,5422
u2χΣl,0,1523275,1,8967
ψχXβ6,0,1037292,1,6107
#LεpV,0,5927153,1,37856
GωλM%,0,7676877,1,40040
7MΣμl,0,2076971,1,9992
XΣσVΛ,0,11205111,1,20654
ηSX6V,0,14517790,1,32092
z!2Σι,0,31821955,1,66800
εeωEτ,0,1685382,1,12701
η6εω1,0,8373342,1,13181
γCzιΠ,0,2857959,1,7082
jrV1γ,0,758912,1,7207
kκBQ%,0,182594,1,1268
McΓsξ,0,2106611,1,14901
OTU#7,0,2609834,1,28828
rζN@Y,0,612547,1,6777
hζnd#,0,700687,1,7592
P$Λ3W,0,1557797,1,19425
7ΞζΘh,0,394100,1,4183
!0νx#,0,1050962,1,12481
%kS7v,0,1299133,1,15445
bCδΦ@,0,3264906,1,38786
oκkβv,0,1619142,1,19520
μVdeh,0,1474762,1,18700
AιpΣ8,0,4549825,1,56517
ΔDplΣ,0,443960,1,4698
0ΠΨRμ,0,986536,1,11801
μθσι2,0,334467,1,3468
μEω0n,0,253096,1,1703
Eχλαn,0,3639687,1,38876
δτυαη,0,675005,1,7527
cΓCΣν,0,701714,1,7527
DlrVX,0,188595,1,1438
ωeειΩ,0,3374050,1,41335
λKσVΓ,0,11827577,1,42155
D9MPi,0,2499714,1,28288
mζQaψ,0,3256938,1,36556
εQδπ%,0,3826545,1,39696
1λaΠR,0,530923,1,5447
ζHqsδ,0,5545861,1,65275
τvσeH,0,894211,1,8982
μξλai,0,904047,1,6507
z!mZσ,0,2464213,1,18385
s7Xeα,0,5080134,1,49784
Σm@Qε,0,908927,1,4978
pAΨuθ,0,219348,1,643
uYΓmp,0,298323,1,1253
bβW!m,0,5672589,1,41340
NWAsf,0,467003,1,2578
!j$ad,0,250998,1,953
ΛΞeiD,0,1018188,1,6557
PBΔυg,0,4338160,1,29503
φMWqx,0,753801,1,4238
χyH%6,0,7831200,1,55607
χlDdy,0,6911257,1,43110
yιΞTα,0,14090966,1,42220
βiΛμw,0,33893765,1,63001
ΓTψW7,0,2156275,1,12011
zqεΩf,0,1379028,1,7447
Σ2Λ80,0,10173051,1,21724
qζ2cM,0,19886776,1,40085
aυxqb,0,125233,1,468
χtmUS,0,502742,1,4158
1Dvυk,0,1928534,1,17565
υLJφχ,0,7675321,1,1483
zΞSTμ,0,2366894,1,23369
Gxυβλ,0,9254051,1,28643
5fuc9,0,7740914,1,19285
0SτχB,0,600327,1,5012
ΛC9AΞ,0,316808,1,2628
UξζTQ,0,6628428,1,4718
ψUΛaO,0,1748875,1,17890
g7Uμx,0,8306406,1,22869
nαχJM,0,609716,1,4893
2Wbuτ,0,7143456,1,8672
bΨΞGJ,0,2684243,1,26503
ΣP3μC,0,3306747,1,15145
0CSD9,0,2150219,1,23284
αvβ1o,0,235235,1,1988
WXbΛv,0,624786,1,6067
!8Lμv,0,6428121,1,77858
EFαza,0,1958086,1,20114
YηΓ8K,0,1294792,1,14331
Σ2iΠΦ,0,1579811,1,17120
!NζξΛ,0,708986,1,8112
V9#%m,0,1556252,1,18080
ζφNcR,0,4034062,1,38971
zkυκm,0,2378367,1,20419
ξυxvΩ,0,1511260,1,17560
7J3Kz,0,707052,1,7552
σSmξ8,0,888110,1,9982
ΩΘ$PC,0,286361,1,2423
ιJuξA,0,92527,1,333
UωπA2,0,1106521,1,7777
αδd72,0,4326949,1,27083
λτχ5o,0,1540698,1,17360
cΓτ#C,0,3054149,1,36426
%J9oω,0,6605537,1,73134
ψΨRθω,0,489804,1,5012
ΔμBΘT,0,2277727,1,22599
94jλn,0,940228,1,9392
merΦσ,0,3515331,1,38906
iMεmn,0,4295960,1,43790
BNCst,0,70692,1,38
Xuχωη,0,3041195,1,34907
Jιlχ8,0,3738021,1,42740
6Qxz8,0,1082092,1,10816
bVf7ε,0,1063449,1,11121
YθGJU,0,1098490,1,7412
52Ωtb,0,2604304,1,31157
Raηk6,0,1190970,1,13296
kZXus,0,4418912,1,51293
%9oπ0,0,10865385,1,56187
υδtΦ8,0,141731,1,553
OλrΔζ,0,670669,1,7687
2Nbzψ,0,2904851,1,36101
Y3JΛb,0,7505252,1,82617
BzΛΠZ,0,837118,1,8662
2βNCU,0,87707,1,243
hιpCB,0,1649270,1,16255
ηuΨ7ξ,0,1352530,1,9252
1Γφfβ,0,3528763,1,25273
drNψΛ,0,340934,1,1863
E6τzj,0,2066835,1,14786
κxqΛb,0,3218615,1,23074
zλ%Ππ,0,9717403,1,69880
4oιNe,0,285112,1,1373
jΦVχΣ,0,4763338,1,35051
ocθεT,0,1387447,1,10506
EIτκζ,0,1978833,1,13306
S1rνH,0,536346,1,3113
Γ7MgJ,0,1473629,1,10306
%NcμB,0,756334,1,5042
dOjφu,0,2236735,1,15455
b!θΨυ,0,2553809,1,20814
Ji5νκ,0,2281896,1,17400
%0ΦνV,0,2098403,1,19605
TWudX,0,435521,1,4998
XωFJK,0,96451,1,378
CtΔ5$,0,7582814,1,62661
χδNoπ,0,2579889,1,25433
chΛδθ,0,213997,1,598
ΔVG8k,0,485031,1,4353
ω7Θυβ,0,397029,1,3833
pεPΘ$,0,526527,1,5832
YαΩru,0,1739518,1,20294
LνGιT,0,1383646,1,16230
mIξqχ,0,241865,1,2368
I%5dμ,0,1344529,1,16545
λXΠxχ,0,1276001,1,15040
πhΣWκ,0,139054,1,913
