String,Probability Of Repetition,ExecutionTime,Solutions Found,MethodCost
yκLΛ4%,0,69867441,1,17085
8nT0Nδ,0,132014570,1,374839
χφEΞCθ,0,38484772,1,36346
φσξ3NZ,0,18291714,1,19010
fξυABv,0,43094648,1,47134
λA5gBs,0,146960269,1,165935
e7gχyγ,0,2283216,1,23394
ΞgZRχα,0,15277815,1,140240
2ηΓζνM,0,12898654,1,128903
gy5ck!,0,68495085,1,693115
π7kSpθ,0,29526817,1,198434
@WnθεP,0,5490463,1,68120
D%UXτb,0,13705275,1,174754
MντξZl,0,41718943,1,451138
3hQMΦs,0,4570027,1,51328
ctMΘwg,0,24853301,1,291195
H63dNν,0,48183540,1,555333
α#%θfE,0,36419740,1,455837
τLpΦ63,0,42326924,1,465266
ZυhrIJ,0,36974279,1,422194
aυQΓZC,0,111586657,1,1138511
ιαJeεζ,0,13103065,1,167950
%6ζuiΔ,0,35528950,1,472339
xr0ΣqX,0,11480199,1,143315
α6ΣΔoσ,0,134260900,1,1288071
ΩJp#V9,0,62898121,1,780872
CyφIZχ,0,19878006,1,232357
TtfΓΣε,0,19877903,1,231767
tγ6@Ck,0,15534848,1,164911
q5ΩvRc,0,1954242,1,19470
X7dzx#,0,16103918,1,183822
ιlΓσys,0,1198989,1,10591
vχVbδM,0,18404339,1,208297
sc4Zχh,0,6926555,1,80337
2tTWhΘ,0,105450954,1,691855
r@βPUn,0,12331170,1,124839
ODoXuE,0,46440072,1,442830
5r1fεS,0,14041657,1,141105
Cλeυ9θ,0,10083512,1,90775
xs0κvψ,0,25823957,1,335192
nΔΠIv2,0,25602247,1,337561
!Ξpωυf,0,1087628,1,13301
ΣcAΛyr,0,4921518,1,60581
TcZkβu,0,8264285,1,101943
$UVSjP,0,18695483,1,222244
sG@βηk,0,40081558,1,479603
5βvκχx,0,32102646,1,421109
iHsA0p,0,16050716,1,204168
!isθX%,0,623412,1,6557
iΦzQγχ,0,4956552,1,50473
!xFκRΓ,0,27573895,1,321669
nGτ4Kt,0,24321092,1,295594
vλκζΓΞ,0,73628653,1,985402
μθ1Ψ6C,0,49421626,1,477138
n@θNrμ,0,20281902,1,240985
tθU@ΨH,0,116324452,1,1038996
yXQw8#,0,21416848,1,186521
wΓSΩTm,0,28364088,1,314126
Wjoπ$l,0,12187224,1,149864
WdιIα#,0,19209979,1,237736
rδστSm,0,27897091,1,264136
tλμ3k7,0,7335809,1,87361
xbYaδ9,0,23552406,1,293305
v1rnΣM,0,10063930,1,124529
ξχΨHjr,0,14008396,1,157547
!EσFχA,0,3512500,1,34902
ΦqΛt$ζ,0,9750986,1,116405
L6γηξT,0,425319,1,4378
JWrFΞΛ,0,15484903,1,132767
HμζΦg6,0,49052000,1,635811
KυFΣjφ,0,652849,1,4218
μD3θSh,0,24440767,1,217085
YdΛζpj,0,30456119,1,262461
σΨ70δY,0,72825646,1,862331
Qτr85ν,0,16480956,1,209427
λaυσzm,0,19436177,1,255203
σxνCθΞ,0,16970781,1,216820
Dh%d$U,0,52632408,1,539011
Πrη$al,0,39555217,1,431507
kΨtR7#,0,970269,1,11781
3ΨTψob,0,59757302,1,792820
OζτφZμ,0,28064248,1,232002
7ωτΘvc,0,24713300,1,244920
KΓoRzΩ,0,33274152,1,315191
azφαmΦ,0,72840460,1,818505
zγCιεζ,0,21743007,1,284277
!1hθΞξ,0,4830087,1,62616
Y#EjΦχ,0,33351207,1,384292
MxiUWw,0,48452717,1,608642
ξSEDCf,0,2045597,1,25438
7jMκφ#,0,44511050,1,574164
9CηpH@,0,24057255,1,273904
RηKoχP,0,53635363,1,638986
σo4PQE,0,20715715,1,262271
Gc#κuψ,0,2047168,1,25803
vχΓ#pJ,0,5592167,1,67575
xDE3αΔ,0,1375366,1,16815
b0uW@κ,0,2878735,1,35551
6ωAepW,0,78374902,1,992230
5ψlβWg,0,77944581,1,991790
IdZδET,0,45547668,1,585541
Pυi#νQ,0,40469275,1,518045
KΣφIδP,0,8173546,1,103378
νiH5αc,0,3933443,1,47699
TXwoBκ,0,67830535,1,836776
nU87kψ,0,12319320,1,160336
MζgΣJU,0,15767837,1,201263
εRkqgt,0,3580126,1,46134
MΞΘmΦτ,0,45618772,1,574774
qIηΘ@Λ,0,19707946,1,210167
#GιVIk,0,37589620,1,474394
SδBkJΩ,0,11308589,1,144725
7#PδTf,0,41213908,1,496084
JYεωπf,0,25823902,1,324184
WxuΞmQ,0,122854286,1,1541760
Mκπ21β,0,13176231,1,163036
ΞωUeWd,0,26993512,1,357357
pSiφζθ,0,19628850,1,241005
C2htΠA,0,7697476,1,102118
MtgwCΘ,0,3059977,1,38401
κzhv1ε,0,2397595,1,28973
αBιUuυ,0,8173483,1,103363
χxσ680,0,56820515,1,708937
Σ!NxbΠ,0,8192920,1,107467
EβμSψz,0,5275938,1,67470
bχψzdκ,0,5926018,1,74069
Gψζwυk,0,14040618,1,178688
HΔγτχy,0,19974385,1,242970
4Zπ0νv,0,10773589,1,133467
0μSDGK,0,4745510,1,54838
δΛυWHm,0,13853164,1,164161
υ2ZτφI,0,5415996,1,55447
8bνι7X,0,21969330,1,273074
m9ΞISa,0,39072846,1,506477
xψsMXΣ,0,30393940,1,343315
6nWMDη,0,16878036,1,217235
ΔMiυvφ,0,6997863,1,84347
huΞf5#,0,45458974,1,597869
RΞtθmz,0,5885386,1,70154
ΞσQ3mΦ,0,1755619,1,21179
TηSκK3,0,3866954,1,41950
#WκνΣt,0,1217861,1,12436
j5νζVN,0,27578876,1,348159
θαυYzA,0,4370948,1,53908
ΛfΘBQ0,0,22996888,1,315585
WgPβsχ,0,54094057,1,667145
Ξs6ξjΠ,0,6156851,1,76788
ΛJΠδL9,0,21984107,1,268015
#gΛγoD,0,12083449,1,153113
yεWιOY,0,12279421,1,149139
ΓεI6Ξν,0,39777148,1,484452
4M!σSP,0,21069399,1,246464
4Kfυψτ,0,49184834,1,601508
DZO1ξa,0,23059256,1,273269
lΦFqfK,0,2166704,1,27843
%isfDη,0,132430,1,943
ι%χI2σ,0,7094710,1,83987
WQΔ7xN,0,1903484,1,22434
hQbnVι,0,9436982,1,118650
!DOΓtx,0,18749252,1,233652
ζKCιca,0,44615114,1,562036
ζQP2Lχ,0,18688169,1,250228
qtΩNBψ,0,31478425,1,409137
WF%νvm,0,60716680,1,758122
qgσ4F1,0,7866681,1,92240
Fh24εj,0,1051851,1,12136
iD0γvΨ,0,2476499,1,29763
PιdhΨv,0,23117436,1,260741
wZyjGI,0,32853357,1,385726
μφχjΦv,0,1747892,1,21199
p#Yφ3R,0,2073659,1,24239
δRΓMxL,0,135806767,1,1690781
!ΓΛMαt,0,14034657,1,187136
eY8HRχ,0,35460952,1,439341
cΓΔG3Y,0,44839812,1,541490
JDιΓBK,0,7377843,1,63031
4ψk$Δβ,0,25642375,1,243905
qEβV%δ,0,3053693,1,39131
νt6aφΩ,0,35658032,1,386436
ΦΛCILF,0,7357820,1,59172
εbΛVhH,0,3071328,1,25778
B6ΠQαΛ,0,7378757,1,61856
αNRDτg,0,9923835,1,86101
ε4ιWΩe,0,3751542,1,30142
mOξ4yq,0,19267546,1,244790
kO37pτ,0,98506324,1,1196754
6γGyYK,0,67764658,1,772329
δOΞεuθ,0,20491261,1,278743
υcωXkH,0,14639382,1,181917
3ΔCMdξ,0,363342,1,3608
IjωMΣB,0,5190328,1,59002
45xQυd,0,3889078,1,35826
ζsξwjf,0,14060257,1,179168
λlκΓτδ,0,62082568,1,310616
CruλσE,0,43980580,1,312426
lnθΦ2S,0,19686191,1,155197
ξΠψMYw,0,11637825,1,132487
θ1N8zk,0,9504439,1,116860
πΨδζv5,0,13859100,1,177328
τza6Oθ,0,9229943,1,113571
ξφγNwΦ,0,3390347,1,42215
PKo!zΩ,0,5601327,1,73459
xnε5AT,0,13821101,1,181727
ΦΠYwMν,0,19559647,1,220699
dμη$Φ0,0,10131693,1,87856
JsQIpδ,0,54217220,1,530527
zΦPΠΣy,0,6789674,1,81257
%λKiYr,0,19702259,1,176683
ΘkCμ!v,0,9806218,1,78978
Θnk!bτ,0,12272849,1,132767
pΞmΠgF,0,1751545,1,20109
SRWΞJg,0,59107840,1,752448
$@θ6γ%,0,90491878,1,1102288
F2Ξπfo,0,47200632,1,555398
IνβYG9,0,31026964,1,390890
χGRyfL,0,1035870,1,12396
xbe6Eξ,0,60325841,1,807707
Δ!2@η$,0,21413079,1,261846
2νhxδJ,0,23139230,1,303873
e1s0κ5,0,3324442,1,44820
CZwg9S,0,21740849,1,260976
v2JχOa,0,7342582,1,67185
BQ0wbθ,0,15524538,1,180367
R8iLaO,0,17608338,1,216505
ΘΣμBGe,0,21385258,1,279273
hOSNζY,0,25528325,1,335286
αIθeνg,0,29121027,1,365555
tAdγ8δ,0,19696374,1,260431
9rUkSc,0,110326259,1,1388556
$sazvZ,0,2819929,1,34542
VEΩeθD,0,9355409,1,132312
